#,At211,Bi212,Fr212,Rn212,Ra213,Ra213,Ra213,Fr213,Ra212,Ra214,Po211m,Po211,At212m,At212,Rn213,Fr214m,Fr214,Ra215
110,67.31,106.57,22.44,158.92,22.44,41.13,0.00,134.62,0.00,33.65,0.00,136.49,14.96,80.40,175.75,,41.13,41.13
131,80.62,133.44,49.11,268.73,0.00,54.67,38.92,174.21,11.12,38.92,37.99,197.38,39.85,113.05,221.47,,57.45,40.77
150,101.79,127.23,41.47,266.72,17.91,57.49,34.87,129.12,10.37,17.91,50.89,263.89,38.64,156.45,216.77,,38.64,12.25
165,7.05,0.00,6.04,3.02,3.02,11.08,9.07,4.03,4.03,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
180,157.43,104.21,0.00,64.30,0.00,0.00,24.39,6.65,0.00,0.00,46.56,292.68,28.82,75.39,66.52,,0.00,0.00
